Number	Accession	A's	G'c	C's	T's	N's	Length	GC%
12873	CY055050	771	590	433	499	0	2293	fpCG
12874	CY055051	617	383	320	414	0	1734	fpCG
12875	CY055052	290	253	208	236	0	987	fpCG
12876	CY055052	290	253	208	236	0	987	fpCG
12877	CY055053	454	330	264	372	0	1420	fpCG
12878	CY055054	505	400	301	317	0	1523	fpCG
12879	CY055055	270	202	168	210	0	850	fpCG
12880	CY055055	270	202	168	210	0	850	fpCG
12881	CY055056	715	530	425	501	0	2171	fpCG
12882	CY055057	822	519	443	519	0	2303	fpCG
12883	CY055058	772	589	433	499	0	2293	fpCG
12884	CY055479	608	382	317	414	0	1721	fpCG
12885	CY055480	286	253	208	235	0	982	fpCG
12886	CY055480	286	253	208	235	0	982	fpCG
12887	CY055481	501	401	297	317	0	1516	fpCG
12888	CY055482	267	202	168	207	0	844	fpCG
12889	CY055482	267	202	168	207	0	844	fpCG
12890	CY055483	709	532	425	503	0	2169	fpCG
12891	CY055484	817	522	443	517	0	2299	fpCG
12892	CY055485	772	589	433	498	0	2292	fpCG
12893	CY056244	452	330	264	372	0	1418	fpCG
12894	CY055486	606	383	318	414	0	1721	fpCG
12895	CY055487	286	252	208	236	0	982	fpCG
12896	CY055487	286	252	208	236	0	982	fpCG
12897	CY055488	453	329	264	372	0	1418	fpCG
12898	CY055489	502	401	296	317	0	1516	fpCG
12899	CY055490	266	203	167	207	0	844	fpCG
12900	CY055490	266	203	167	207	0	844	fpCG
12901	CY055491	709	531	426	503	0	2169	fpCG
12902	CY055492	821	518	444	516	0	2299	fpCG
12903	CY055493	773	589	433	497	0	2292	fpCG
12904	CY055494	605	385	317	414	0	1721	fpCG
12905	CY055495	286	253	208	235	0	982	fpCG
12906	CY055495	286	253	208	235	0	982	fpCG
12907	CY055496	450	332	264	372	0	1418	fpCG
12908	CY055497	502	402	296	316	0	1516	fpCG
12909	CY055498	265	203	168	208	0	844	fpCG
12910	CY055498	265	203	168	208	0	844	fpCG
12911	CY055499	710	532	424	503	0	2169	fpCG
12912	CY055500	820	519	441	519	0	2299	fpCG
12913	CY055501	773	590	433	496	0	2292	fpCG
12914	CY055502	605	385	315	416	0	1721	fpCG
12915	CY055503	286	253	208	235	0	982	fpCG
12916	CY055503	286	253	208	235	0	982	fpCG
12917	CY055504	452	332	263	371	0	1418	fpCG
12918	CY055505	502	402	296	316	0	1516	fpCG
12919	CY055506	265	203	168	208	0	844	fpCG
12920	CY055506	265	203	168	208	0	844	fpCG
12921	CY055507	708	533	424	500	0	2165	fpCG
12922	CY055508	816	523	443	517	0	2299	fpCG
12923	CY055509	773	590	433	496	0	2292	fpCG
12924	CY055510	620	381	319	414	0	1734	fpCG
12925	CY055511	289	254	208	236	0	987	fpCG
12926	CY055511	289	254	208	236	0	987	fpCG
12927	CY055512	454	330	264	372	0	1420	fpCG
12928	CY055513	503	401	300	319	0	1523	fpCG
12929	CY055514	272	201	169	208	0	850	fpCG
12930	CY055514	272	201	169	208	0	850	fpCG
12931	CY055515	712	532	426	505	0	2175	fpCG
12932	CY055516	817	524	444	518	0	2303	fpCG
12933	CY055517	773	588	433	499	0	2293	fpCG
12934	CY055518	608	382	317	414	0	1721	fpCG
12935	CY055519	286	253	208	235	0	982	fpCG
12936	CY055519	286	253	208	235	0	982	fpCG
12937	CY055520	452	330	264	372	0	1418	fpCG
12938	CY055521	503	400	296	317	0	1516	fpCG
12939	CY055522	267	201	168	208	0	844	fpCG
12940	CY055522	267	201	168	208	0	844	fpCG
12941	CY055523	709	532	425	503	0	2169	fpCG
12942	CY055524	817	522	443	517	0	2299	fpCG
12943	CY055525	773	589	433	497	0	2292	fpCG
12944	CY062194	615	386	318	415	0	1734	fpCG
12945	CY062195	289	254	207	237	0	987	fpCG
12946	CY062195	289	254	207	237	0	987	fpCG
12947	CY062196	454	330	264	372	0	1420	fpCG
12948	CY062197	503	402	301	317	0	1523	fpCG
12949	CY062198	270	201	169	210	0	850	fpCG
12950	CY062198	270	201	169	210	0	850	fpCG
12951	CY062199	712	533	426	504	0	2175	fpCG
12952	CY062200	823	517	442	521	0	2303	fpCG
12953	CY062201	772	590	432	499	0	2293	fpCG
12954	CY054739	606	384	317	414	0	1721	fpCG
12955	CY054740	286	253	208	235	0	982	fpCG
12956	CY054740	286	253	208	235	0	982	fpCG
12957	CY054741	451	331	265	371	0	1418	fpCG
12958	CY054742	496	396	294	312	0	1498	fpCG
12959	CY054743	265	203	168	208	0	844	fpCG
12960	CY054743	265	203	168	208	0	844	fpCG
12961	CY054744	710	532	425	502	0	2169	fpCG
12962	CY054745	819	520	443	517	0	2299	fpCG
12963	CY054746	772	590	432	498	0	2292	fpCG
12964	CY066495	617	384	319	414	0	1734	fpCG
12965	CY066496	288	255	208	236	0	987	fpCG
12966	CY066496	288	255	208	236	0	987	fpCG
12967	CY066497	455	330	264	371	0	1420	fpCG
12968	CY066498	504	401	300	318	0	1523	fpCG
12969	CY066499	271	202	168	209	0	850	fpCG
12970	CY066499	271	202	168	209	0	850	fpCG
12971	CY066500	714	530	427	504	0	2175	fpCG
12972	CY066501	820	521	441	521	0	2303	fpCG
12973	CY066502	771	589	435	498	0	2293	fpCG
12974	CY062202	618	383	318	415	0	1734	fpCG
12975	CY062203	289	254	208	236	0	987	fpCG
12976	CY062203	289	254	208	236	0	987	fpCG
12977	CY062204	454	330	264	372	0	1420	fpCG
12978	CY062205	503	401	300	319	0	1523	fpCG
12979	CY062206	269	203	169	209	0	850	fpCG
12980	CY062206	269	203	169	209	0	850	fpCG
12981	CY062207	712	532	427	504	0	2175	fpCG
12982	CY062208	818	523	444	518	0	2303	fpCG
12983	CY062209	772	589	432	500	0	2293	fpCG
12984	CY062210	625	383	319	416	0	1743	fpCG
12985	CY062211	288	255	208	236	0	987	fpCG
12986	CY062211	288	255	208	236	0	987	fpCG
12987	CY062212	452	331	265	372	0	1420	fpCG
12988	CY062213	503	402	301	317	0	1523	fpCG
12989	CY062214	272	200	169	209	0	850	fpCG
12990	CY062214	272	200	169	209	0	850	fpCG
12991	CY062215	712	534	428	501	0	2175	fpCG
12992	CY062216	824	519	442	518	0	2303	fpCG
12993	CY062217	768	593	434	498	0	2293	fpCG
12994	CY062218	616	385	318	415	0	1734	fpCG
12995	CY062219	289	254	208	236	0	987	fpCG
12996	CY062219	289	254	208	236	0	987	fpCG
12997	CY062220	454	331	263	373	0	1421	fpCG
12998	CY062221	504	401	301	317	0	1523	fpCG
12999	CY062222	270	202	168	210	0	850	fpCG
13000	CY062222	270	202	168	210	0	850	fpCG
13001	CY062223	711	533	426	505	0	2175	fpCG
13002	CY062224	822	519	443	519	0	2303	fpCG
13003	CY062225	772	590	432	499	0	2293	fpCG
13004	CY062226	615	385	319	415	0	1734	fpCG
13005	CY062227	290	253	208	236	0	987	fpCG
13006	CY062227	290	253	208	236	0	987	fpCG
13007	CY062228	451	332	264	373	0	1420	fpCG
13008	CY062229	504	401	298	320	0	1523	fpCG
13009	CY062230	271	201	169	209	0	850	fpCG
13010	CY062230	271	201	169	209	0	850	fpCG
13011	CY062231	713	533	427	502	0	2175	fpCG
13012	CY062232	820	521	442	520	0	2303	fpCG
13013	CY062233	770	591	433	499	0	2293	fpCG
13014	CY062234	614	385	320	415	0	1734	fpCG
13015	CY062235	290	254	207	236	0	987	fpCG
13016	CY062235	290	254	207	236	0	987	fpCG
13017	CY062236	452	331	264	373	0	1420	fpCG
13018	CY062237	500	405	301	317	0	1523	fpCG
13019	CY062238	271	201	168	210	0	850	fpCG
13020	CY062238	271	201	168	210	0	850	fpCG
13021	CY062239	712	534	426	503	0	2175	fpCG
13022	CY062240	820	521	444	518	0	2303	fpCG
13023	CY062241	772	590	433	498	0	2293	fpCG
13024	CY062242	617	384	318	415	0	1734	fpCG
13025	CY062243	290	253	208	236	0	987	fpCG
13026	CY062243	290	253	208	236	0	987	fpCG
13027	CY062244	454	330	264	372	0	1420	fpCG
13028	CY062245	503	401	300	319	0	1523	fpCG
13029	CY062246	270	202	168	210	0	850	fpCG
13030	CY062246	270	202	168	210	0	850	fpCG
13031	CY062247	711	532	429	503	0	2175	fpCG
13032	CY062248	818	523	442	520	0	2303	fpCG
13033	CY062249	773	589	433	498	0	2293	fpCG
13034	CY062250	617	384	317	416	0	1734	fpCG
13035	CY062251	291	252	209	235	0	987	fpCG
13036	CY062251	291	252	209	235	0	987	fpCG
13037	CY062252	456	328	264	372	0	1420	fpCG
13038	CY062253	504	401	299	319	0	1523	fpCG
13039	CY062254	270	203	170	207	0	850	fpCG
13040	CY062254	270	203	170	207	0	850	fpCG
13041	CY062255	712	532	427	504	0	2175	fpCG
13042	CY062256	818	523	444	518	0	2303	fpCG
13043	CY062257	773	589	433	498	0	2293	fpCG
13044	CY063067	614	385	319	416	0	1734	fpCG
13045	CY063068	290	254	207	236	0	987	fpCG
13046	CY063068	290	254	207	236	0	987	fpCG
13047	CY063069	452	331	265	372	0	1420	fpCG
13048	CY063070	500	405	300	318	0	1523	fpCG
13049	CY063071	271	201	168	210	0	850	fpCG
13050	CY063071	271	201	168	210	0	850	fpCG
13051	CY063072	712	534	426	503	0	2175	fpCG
13052	CY063073	820	521	443	519	0	2303	fpCG
13053	CY063074	772	590	434	497	0	2293	fpCG
13054	CY063075	617	384	318	415	0	1734	fpCG
13055	CY063076	289	254	208	236	0	987	fpCG
13056	CY063076	289	254	208	236	0	987	fpCG
13057	CY063077	452	332	265	371	0	1420	fpCG
13058	CY063078	503	402	301	317	0	1523	fpCG
13059	CY063079	269	203	168	210	0	850	fpCG
13060	CY063079	269	203	168	210	0	850	fpCG
13061	CY063080	713	532	425	505	0	2175	fpCG
13062	CY063081	821	520	444	518	0	2303	fpCG
13063	CY063082	771	591	432	499	0	2293	fpCG
13064	CY063083	617	384	321	412	0	1734	fpCG
13065	CY063084	289	254	208	236	0	987	fpCG
13066	CY063084	289	254	208	236	0	987	fpCG
13067	CY063085	454	332	263	371	0	1420	fpCG
13068	CY063086	504	401	301	317	0	1523	fpCG
13069	CY063087	270	202	168	210	0	850	fpCG
13070	CY063087	270	202	168	210	0	850	fpCG
13071	CY063088	712	533	429	501	0	2175	fpCG
13072	CY063089	818	522	442	521	0	2303	fpCG
13073	CY063090	773	590	433	497	0	2293	fpCG
13074	CY054747	616	385	318	415	0	1734	fpCG
13075	CY054748	289	254	209	235	0	987	fpCG
13076	CY054748	289	254	209	235	0	987	fpCG
13077	CY054749	452	332	264	372	0	1420	fpCG
13078	CY054750	504	401	301	317	0	1523	fpCG
13079	CY054751	269	203	169	209	0	850	fpCG
13080	CY054751	269	203	169	209	0	850	fpCG
13081	CY054752	712	533	427	503	0	2175	fpCG
13082	CY054753	820	521	443	519	0	2303	fpCG
13083	CY054754	772	590	433	498	0	2293	fpCG
13084	CY066503	618	384	322	410	0	1734	fpCG
13085	CY066504	289	254	208	236	0	987	fpCG
13086	CY066504	289	254	208	236	0	987	fpCG
13087	CY066505	454	331	262	373	0	1420	fpCG
13088	CY066506	504	401	301	317	0	1523	fpCG
13089	CY066507	270	202	169	209	0	850	fpCG
13090	CY066507	270	202	169	209	0	850	fpCG
13091	CY066508	712	529	430	501	0	2172	fpCG
13092	CY066509	820	521	442	520	0	2303	fpCG
13093	CY066510	774	588	431	500	0	2293	fpCG
13094	CY063091	616	385	319	414	0	1734	fpCG
13095	CY063092	289	254	208	236	0	987	fpCG
13096	CY063092	289	254	208	236	0	987	fpCG
13097	CY063093	452	332	264	372	0	1420	fpCG
13098	CY063094	504	401	301	317	0	1523	fpCG
13099	CY063095	270	202	170	208	0	850	fpCG
13100	CY063095	270	202	170	208	0	850	fpCG
13101	CY063096	712	533	426	504	0	2175	fpCG
13102	CY063097	820	521	443	519	0	2303	fpCG
13103	CY063098	773	590	434	496	0	2293	fpCG
13104	CY063099	618	383	320	413	0	1734	fpCG
13105	CY063100	289	254	208	236	0	987	fpCG
13106	CY063100	289	254	208	236	0	987	fpCG
13107	CY063101	456	329	264	371	0	1420	fpCG
13108	CY063102	504	401	299	319	0	1523	fpCG
13109	CY063103	270	202	170	208	0	850	fpCG
13110	CY063103	270	202	170	208	0	850	fpCG
13111	CY063104	711	533	427	504	0	2175	fpCG
13112	CY063105	819	522	444	518	0	2303	fpCG
13113	CY063106	774	588	434	497	0	2293	fpCG
13114	CY063107	616	385	319	414	0	1734	fpCG
13115	CY063108	288	254	209	236	0	987	fpCG
13116	CY063108	288	254	209	236	0	987	fpCG
13117	CY063109	454	331	263	373	0	1421	fpCG
13118	CY063110	505	401	300	317	0	1523	fpCG
13119	CY063111	271	201	169	209	0	850	fpCG
13120	CY063111	271	201	169	209	0	850	fpCG
13121	CY063112	714	531	428	502	0	2175	fpCG
13122	CY063113	822	521	441	519	0	2303	fpCG
13123	CY063114	770	591	435	497	0	2293	fpCG
13124	CY063115	617	385	318	414	0	1734	fpCG
13125	CY063116	290	253	208	236	0	987	fpCG
13126	CY063116	290	253	208	236	0	987	fpCG
13127	CY063117	453	331	264	372	0	1420	fpCG
13128	CY063118	504	400	300	319	0	1523	fpCG
13129	CY063119	270	202	169	209	0	850	fpCG
13130	CY063119	270	202	169	209	0	850	fpCG
13131	CY063120	713	533	427	502	0	2175	fpCG
13132	CY063121	821	520	443	519	0	2303	fpCG
13133	CY063122	776	587	433	497	0	2293	fpCG
13134	CY066191	615	385	321	414	0	1735	fpCG
13135	CY066192	289	255	208	235	0	987	fpCG
13136	CY066192	289	255	208	235	0	987	fpCG
13137	CY066193	453	331	264	372	0	1420	fpCG
13138	CY066194	505	400	300	318	0	1523	fpCG
13139	CY066195	270	202	167	211	0	850	fpCG
13140	CY066195	270	202	167	211	0	850	fpCG
13141	CY066196	712	533	427	503	0	2175	fpCG
13142	CY066197	821	520	442	520	0	2303	fpCG
13143	CY066198	775	588	434	496	0	2293	fpCG
13144	CY063123	619	382	320	413	0	1734	fpCG
13145	CY063124	289	255	206	237	0	987	fpCG
13146	CY063124	289	255	206	237	0	987	fpCG
13147	CY063125	454	331	263	372	0	1420	fpCG
13148	CY063126	504	400	299	320	0	1523	fpCG
13149	CY063127	270	202	169	209	0	850	fpCG
13150	CY063127	270	202	169	209	0	850	fpCG
13151	CY063128	710	533	430	502	0	2175	fpCG
13152	CY063129	818	523	443	519	0	2303	fpCG
13153	CY063130	775	587	432	499	0	2293	fpCG
13154	CY063131	620	381	319	414	0	1734	fpCG
13155	CY063132	289	254	208	236	0	987	fpCG
13156	CY063132	289	254	208	236	0	987	fpCG
13157	CY063133	455	329	264	372	0	1420	fpCG
13158	CY063134	504	401	300	318	0	1523	fpCG
13159	CY063135	270	202	169	209	0	850	fpCG
13160	CY063135	270	202	169	209	0	850	fpCG
13161	CY063136	714	531	427	503	0	2175	fpCG
13162	CY063137	818	523	444	518	0	2303	fpCG
13163	CY063138	775	587	433	498	0	2293	fpCG
13164	CY063139	614	387	319	414	0	1734	fpCG
13165	CY063140	288	255	208	236	0	987	fpCG
13166	CY063140	288	255	208	236	0	987	fpCG
13167	CY063141	453	331	264	372	0	1420	fpCG
13168	CY063142	505	401	299	318	0	1523	fpCG
13169	CY063143	271	201	169	209	0	850	fpCG
13170	CY063143	271	201	169	209	0	850	fpCG
13171	CY063144	712	533	429	501	0	2175	fpCG
13172	CY063145	822	521	444	516	0	2303	fpCG
13173	CY063146	771	591	433	498	0	2293	fpCG
13174	CY063147	618	383	319	414	0	1734	fpCG
13175	CY063148	289	254	208	236	0	987	fpCG
13176	CY063148	289	254	208	236	0	987	fpCG
13177	CY063149	455	330	264	371	0	1420	fpCG
13178	CY063150	503	401	300	319	0	1523	fpCG
13179	CY063151	270	202	169	209	0	850	fpCG
13180	CY063151	270	202	169	209	0	850	fpCG
13181	CY063152	712	533	427	503	0	2175	fpCG
13182	CY063153	816	525	444	518	0	2303	fpCG
13183	CY063154	774	589	432	498	0	2293	fpCG
13184	CY071463	772	584	433	491	0	2280	fpCG
13185	CY071465	706	528	422	495	0	2151	fpCG
13186	CY071466	600	380	313	408	0	1701	fpCG
13187	CY071467	497	394	293	313	0	1497	fpCG
13188	CY071468	450	329	263	367	0	1409	fpCG
13189	CY071469	288	253	209	232	0	982	fpCG
13190	CY071469	288	253	209	232	0	982	fpCG
13191	CY071470	266	203	169	208	0	846	fpCG
13192	CY071470	266	203	169	208	0	846	fpCG
13193	CY071471	769	588	432	491	0	2280	fpCG
13194	CY071473	705	529	422	495	0	2151	fpCG
13195	CY071474	600	379	314	408	0	1701	fpCG
13196	CY071475	496	395	292	314	0	1497	fpCG
13197	CY071476	450	330	263	367	0	1410	fpCG
13198	CY071477	287	254	208	233	0	982	fpCG
13199	CY071477	287	254	208	233	0	982	fpCG
13200	CY071478	266	203	169	208	0	846	fpCG
13201	CY071478	266	203	169	208	0	846	fpCG
13202	CY071479	770	587	434	489	0	2280	fpCG
13203	CY071481	706	529	421	495	0	2151	fpCG
13204	CY071482	602	377	314	408	0	1701	fpCG
13205	CY071483	497	394	294	312	0	1497	fpCG
13206	CY071484	449	332	264	366	0	1411	fpCG
13207	CY071485	287	254	209	232	0	982	fpCG
13208	CY071485	287	254	209	232	0	982	fpCG
13209	CY071486	267	203	169	208	0	847	fpCG
13210	CY071486	267	203	169	208	0	847	fpCG
13211	CY071487	768	588	434	490	0	2280	fpCG
13212	CY071489	705	529	422	495	0	2151	fpCG
13213	CY071490	601	378	314	408	0	1701	fpCG
13214	CY071491	497	394	294	312	0	1497	fpCG
13215	CY071492	449	331	263	367	0	1410	fpCG
13216	CY071493	287	254	208	233	0	982	fpCG
13217	CY071493	287	254	208	233	0	982	fpCG
13218	CY071494	267	202	169	208	0	846	fpCG
13219	CY071494	267	202	169	208	0	846	fpCG
13220	CY071495	771	586	431	492	0	2280	fpCG
13221	CY071496	811	519	438	506	0	2274	fpCG
13222	CY071497	706	530	421	494	0	2151	fpCG
13223	CY071498	600	379	312	410	0	1701	fpCG
13224	CY071499	496	395	294	312	0	1497	fpCG
13225	CY071500	450	330	263	367	0	1410	fpCG
13226	CY071501	287	254	208	233	0	982	fpCG
13227	CY071501	287	254	208	233	0	982	fpCG
13228	CY071502	264	205	169	208	0	846	fpCG
13229	CY071502	264	205	169	208	0	846	fpCG
13230	CY071503	769	588	431	492	0	2280	fpCG
13231	CY071504	812	516	439	507	0	2274	fpCG
13232	CY071505	706	528	422	495	0	2151	fpCG
13233	CY071506	600	379	314	408	0	1701	fpCG
13234	CY071507	496	395	294	312	0	1497	fpCG
13235	CY071508	450	329	264	367	0	1410	fpCG
13236	CY071509	286	253	208	235	0	982	fpCG
13237	CY071509	286	253	208	235	0	982	fpCG
13238	CY071510	266	203	168	209	0	846	fpCG
13239	CY071510	266	203	168	209	0	846	fpCG
13240	CY071511	770	586	432	492	0	2280	fpCG
13241	CY071513	703	525	419	489	0	2136	fpCG
13242	CY071514	601	378	314	408	0	1701	fpCG
13243	CY071515	496	395	294	312	0	1497	fpCG
13244	CY071516	450	330	263	367	0	1410	fpCG
13245	CY071517	287	254	208	233	0	982	fpCG
13246	CY071517	287	254	208	233	0	982	fpCG
13247	CY071518	264	205	169	208	0	846	fpCG
13248	CY071518	264	205	169	208	0	846	fpCG
13249	CY071519	769	588	433	490	0	2280	fpCG
13250	CY071521	704	529	423	495	0	2151	fpCG
13251	CY071522	599	380	314	408	0	1701	fpCG
13252	CY071523	496	395	292	314	0	1497	fpCG
13253	CY071524	451	329	263	367	0	1410	fpCG
13254	CY071525	286	254	208	234	0	982	fpCG
13255	CY071525	286	254	208	234	0	982	fpCG
13256	CY071526	265	204	169	208	0	846	fpCG
13257	CY071526	265	204	169	208	0	846	fpCG
13258	CY071527	769	588	433	490	0	2280	fpCG
13259	CY071528	811	518	439	506	0	2274	fpCG
13260	CY071529	704	530	421	496	0	2151	fpCG
13261	CY071530	600	379	315	407	0	1701	fpCG
13262	CY071531	495	396	293	313	0	1497	fpCG
13263	CY071532	450	330	263	367	0	1410	fpCG
13264	CY071533	287	254	208	233	0	982	fpCG
13265	CY071533	287	254	208	233	0	982	fpCG
13266	CY071534	265	204	169	208	0	846	fpCG
13267	CY071534	265	204	169	208	0	846	fpCG
13268	CY071535	771	586	433	490	0	2280	fpCG
13269	CY071537	705	529	422	495	0	2151	fpCG
13270	CY071538	599	380	314	408	0	1701	fpCG
13271	CY071539	496	395	294	312	0	1497	fpCG
13272	CY071540	449	331	263	367	0	1410	fpCG
13273	CY071541	287	254	208	233	0	982	fpCG
13274	CY071541	287	254	208	233	0	982	fpCG
13275	CY071542	264	205	169	208	0	846	fpCG
13276	CY071542	264	205	169	208	0	846	fpCG
13277	CY071543	768	587	433	492	0	2280	fpCG
13278	CY071545	705	529	423	494	0	2151	fpCG
13279	CY071546	598	381	315	407	0	1701	fpCG
13280	CY071547	496	395	294	312	0	1497	fpCG
13281	CY071548	449	331	263	367	0	1410	fpCG
13282	CY071549	287	254	208	233	0	982	fpCG
13283	CY071549	287	254	208	233	0	982	fpCG
13284	CY071550	266	203	169	208	0	846	fpCG
13285	CY071550	266	203	169	208	0	846	fpCG
13286	CY069522	798	556	408	533	0	2295	fpCG
13287	CY069523	804	509	441	548	0	2302	fpCG
13288	CY069523	804	509	441	548	0	2302	fpCG
13289	CY069524	741	518	399	535	0	2193	fpCG
13290	CY069525	601	387	316	425	0	1729	fpCG
13291	CY069526	488	396	300	322	0	1506	fpCG
13292	CY069527	460	331	253	369	0	1413	fpCG
13293	CY069528	289	250	206	237	0	982	fpCG
13294	CY069528	289	250	206	237	0	982	fpCG
13295	CY069529	264	208	159	213	0	844	fpCG
13296	CY069529	264	208	159	213	0	844	fpCG
13297	FJ375205	583	381	320	414	0	1698	fpCG
13298	FJ375206	585	378	320	415	0	1698	fpCG
13299	FJ743470	479	334	260	379	0	1452	fpCG
13300	FJ743471	608	388	327	417	0	1740	fpCG
13301	FJ375207	584	381	318	415	0	1698	fpCG
13302	FJ375208	586	379	319	414	0	1698	fpCG
13303	EF566332	345	215	225	240	0	1025	fpCG
13304	EU501622	341	203	217	226	0	987	fpCG
13305	DQ865970	341	202	217	227	0	987	fpCG
13306	EU501623	341	202	217	227	0	987	fpCG
13307	EF456793	407	342	254	362	0	1365	fpCG
13308	EF456805	587	399	308	413	0	1707	fpCG
13309	HQ200458	587	392	304	407	0	1690	fpCG
13310	HQ200459	384	335	242	351	0	1312	fpCG
13311	HQ200460	263	200	168	192	0	823	fpCG
13312	HQ200460	263	200	168	192	0	823	fpCG
13313	HQ200461	247	231	192	205	0	875	fpCG
13314	HQ200461	247	231	192	205	0	875	fpCG
13315	HQ200462	778	605	440	517	0	2340	fpCG
13316	HQ200463	814	536	464	527	0	2341	fpCG
13317	HQ200464	736	534	443	520	0	2233	fpCG
13318	HQ200465	497	430	312	325	0	1564	fpCG
13319	FJ865282	339	205	217	229	0	990	fpCG
13320	FJ865306	258	244	191	218	0	911	fpCG
13321	FJ865306	258	244	191	218	0	911	fpCG
13322	FJ865331	412	315	253	348	0	1329	fpCG
13323	FJ865283	340	204	218	228	0	990	fpCG
13324	FJ865307	257	238	183	211	0	889	fpCG
13325	FJ865307	257	238	183	211	0	889	fpCG
13326	FJ865332	415	317	252	353	0	1339	fpCG
13327	FJ865284	340	203	218	227	0	988	fpCG
13328	FJ865308	259	240	190	213	0	902	fpCG
13329	FJ865308	259	240	190	213	0	902	fpCG
13330	FJ865333	416	319	254	353	0	1343	fpCG
13331	FJ865225	358	234	228	249	0	1069	fpCG
13332	FJ865226	395	263	244	275	0	1177	fpCG
13333	FJ865245	268	241	195	222	0	926	fpCG
13334	FJ865245	268	241	195	222	0	926	fpCG
13335	FJ865264	440	316	239	356	0	1351	fpCG
13336	HQ200417	586	395	310	398	1	1690	fpCG
13337	HQ200418	346	289	216	308	0	1159	fpCG
13338	HQ200419	291	275	214	238	0	1018	fpCG
13339	HQ200419	291	275	214	238	0	1018	fpCG
13340	HQ200420	475	415	295	309	0	1494	fpCG
13341	HQ200421	283	201	181	201	0	866	fpCG
13342	HQ200421	283	201	181	201	0	866	fpCG
13343	HQ200422	783	597	438	514	0	2332	fpCG
13344	HQ200423	584	397	310	401	0	1692	fpCG
13345	HQ200424	398	344	249	356	0	1347	fpCG
13346	HQ200425	292	270	216	239	0	1017	fpCG
13347	HQ200425	292	270	216	239	0	1017	fpCG
13348	HQ200426	491	419	306	323	0	1539	fpCG
13349	HQ200427	276	210	177	203	0	866	fpCG
13350	HQ200427	276	210	177	203	0	866	fpCG
13351	FJ865227	395	260	245	273	0	1174	fpCG
13352	FJ865246	247	225	170	204	0	846	fpCG
13353	FJ865246	247	225	170	204	0	846	fpCG
13354	FJ865265	428	316	237	353	0	1334	fpCG
13355	FJ865228	393	263	245	273	0	1174	fpCG
13356	FJ865247	260	238	179	213	0	890	fpCG
13357	FJ865247	260	238	179	213	0	890	fpCG
13358	FJ865266	431	311	237	351	0	1330	fpCG
13359	FJ865285	338	204	218	227	0	988	fpCG
13360	FJ865309	261	242	191	218	0	912	fpCG
13361	FJ865309	261	242	191	218	0	912	fpCG
13362	FJ865334	401	304	244	334	0	1283	fpCG
13363	FJ865286	340	204	217	229	0	990	fpCG
13364	FJ865310	263	242	194	217	0	916	fpCG
13365	FJ865310	263	242	194	217	0	916	fpCG
13366	FJ865335	416	318	254	354	0	1343	fpCG
13367	FJ865287	339	205	218	226	0	988	fpCG
13368	FJ865311	263	237	185	214	0	899	fpCG
13369	FJ865311	263	237	185	214	0	899	fpCG
13370	FJ865336	383	293	227	306	0	1209	fpCG
13371	FJ865288	339	204	218	226	0	987	fpCG
13372	FJ865312	263	242	195	218	0	918	fpCG
13373	FJ865312	263	242	195	218	0	918	fpCG
13374	FJ865337	402	312	249	346	0	1310	fpCG
13375	FJ865289	339	204	220	227	0	990	fpCG
13376	FJ865313	261	239	185	215	0	900	fpCG
13377	FJ865313	261	239	185	215	0	900	fpCG
13378	FJ865338	397	300	235	323	0	1255	fpCG
13379	FJ865229	382	257	238	266	0	1144	fpCG
13380	FJ865248	268	242	195	223	0	929	fpCG
13381	FJ865248	268	242	195	223	0	929	fpCG
13382	FJ865267	422	313	232	347	0	1314	fpCG
13383	FJ865290	322	193	210	220	0	945	fpCG
13384	FJ865314	257	237	183	210	0	888	fpCG
13385	FJ865314	257	237	183	210	0	888	fpCG
13386	FJ865339	393	308	231	322	0	1254	fpCG
13387	FJ865291	339	204	218	227	0	988	fpCG
13388	FJ865315	261	241	192	214	0	908	fpCG
13389	FJ865315	261	241	192	214	0	908	fpCG
13390	FJ865340	393	296	242	325	0	1256	fpCG
13391	FJ865230	376	244	234	254	0	1108	fpCG
13392	FJ865231	384	260	240	272	0	1156	fpCG
13393	FJ865249	261	235	179	213	0	888	fpCG
13394	FJ865249	261	235	179	213	0	888	fpCG
13395	FJ865268	424	310	232	347	0	1314	fpCG
13396	FJ865292	337	201	214	223	0	975	fpCG
13397	FJ865316	257	239	185	216	0	897	fpCG
13398	FJ865316	257	239	185	216	0	897	fpCG
13399	FJ865232	386	254	246	263	0	1149	fpCG
13400	FJ865250	273	237	185	221	0	916	fpCG
13401	FJ865250	273	237	185	221	0	916	fpCG
13402	FJ865269	429	308	233	344	0	1314	fpCG
13403	FJ865233	382	254	246	266	0	1149	fpCG
13404	FJ865251	267	230	177	214	0	888	fpCG
13405	FJ865251	267	230	177	214	0	888	fpCG
13406	FJ865270	430	307	233	344	0	1314	fpCG
13407	FJ865252	269	234	178	218	0	899	fpCG
13408	FJ865252	269	234	178	218	0	899	fpCG
13409	FJ225472	588	401	305	410	0	1704	fpCG
13410	FJ225473	416	351	257	373	0	1397	fpCG
13411	HQ200568	487	425	306	321	0	1539	fpCG
13412	HQ200569	448	348	245	305	0	1346	fpCG
13413	HQ200570	770	522	435	491	0	2218	fpCG
